CAGAYAN,1,Aparri Branch,"LANDBANK Bldg., Macanaya District Aparri, Cagayan"
CAGAYAN,2,Baggao (Cagayan) Baggao Agri-Hub,"LGU Compound Villanueva street, Barangay San Jose, Baggao, Cagayan"
CAGAYAN,3,Sanchez Mira Branch,"Obispo Bldg., National H-way, Centro 02 Sanchez Mira, Cagayan"
CAGAYAN,4,CEZA (Cagayan) Branch-Lite,"Ground Floor, CEZA Corporate Center, Barangay Centro, Sta. Ana, Cagayan"
CAGAYAN,5,Tuguegarao (Capitol) Branch,"Regional Gov't. Center, Carig Sur, Tuguegarao City Cagayan"
-
CAMARINES NORTE,1,Daet Branch,"LANDBANK Bldg., Vinzons Ave. (Maharlika H-way) Daet, Camarines Norte"
CAMARINES NORTE,2,Labo Branch,"Maharlika Highway, Brgy. Kalamunding Labo, Camarines Norte"
CAMARINES NORTE,3,"LANDBANK Easy Access Facility (LEAF) Sta. Elena, Camarines Norte","Municipal Compound, Purok 5, Brgy. Poblacion, Sta. Elena, Camarines Norte"
-
CAMARINES SUR,1,Calabanga (Camarines Sur) Agri Hub,"Del Carmen Street, Calabanga, Camarines Sur"
CAMARINES SUR,2,Goa Branch,"Ground Floor JN Building, Rizal St., San Juan Bautista, Poblacion, Goa, Camarines Sur"
CAMARINES SUR,3,Iriga Branch,"Ground Floor Mark Nancy Building Santiago I. Gonzales St., Brgy. San Roque, Iriga City, Camarines Sur"
CAMARINES SUR,4,Naga Rotunda Branch,"Panganiban Drive corner Magsaysay Avenue, Concepcion Pequena, Naga City"
CAMARINES SUR,5,Pili Branch,"Balper Sumayao Bldg. Old San Roque, Pili, Camarines Sur"
CAMARINES SUR,6,Sipocot Branch,"Ramon Marabillon Building San Juan Avenue, South Centro, Sipocot, Camarines Sur"
CAMARINES SUR,7,Tigaon Branch,"LGU Tigaon Compound, Caraycayon, Tigaon, Cam. Sur"
-
CAMIGUIN,1,Camiguin Branch,"Placido Reyes St. Mambajao, Camiguin"
-
CAPIZ,1,"LANDBANK EASY Access Facility (LEAF) Dao, Capiz","beside Senior Citizen Building, Poblacion, Ilawod, Dao, Capiz"
CAPIZ,2,Mambusao Branch-Lite,"Villareal Highway, Poblacion Proper, Mambusao, Capiz 5807"
CAPIZ,3,Roxas (Capiz) Branch,"Acevedo Building, P. Gomez Street Roxas City, Capiz"
-
CATANDUANES,1,San Andres Branch,"J.P. Rizal Street, Provincial Road, Brgy. San Roque, San Andres, Catanduanes"
CATANDUANES,2,Virac Branch,"Catanduanes State University Compound, Calatagan, Virac, Catanduanes"
-
CAVITE,1,Bacoor Molino Branch,"Ground Floor, The Arcade Stall G-1A, RFC Molino Mall, Molino 2, Bacoor City, Cavite 4102"
CAVITE,2,Cavite City Branch,"LANDBANK Building, P. Burgos Ave. cor. Ronquillo St. Caridad, Cavite City"
CAVITE,3,Dasmariñas Branch,"LANDBANK Building, Brgy. San Agustin II, Emilio Aguinaldo Highway,Dasmariñas City, Cavite"
CAVITE,4,GMA (Cavite) Branch,"LANDBANK Building, Brgy. San Agustin II, Emilio Aguinaldo Highway,Dasmariñas City, Cavite"
CAVITE,5,Imus Branch,"MCI Business Center, Diversion Rd., Brgy. Palico IV, Imus City, Cavite"
CAVITE,6,LANDBANK Easy Access Facility (LEAF) Naic,"Naic Municipal Hall Compound Barangay Ibayo Silangan, Naic, Cavite"
CAVITE,7,Rosario Cavite (CEZ) Branch,"Cavite Export Processing Zone Compound Rosario, Cavite"
CAVITE,8,Tagaytay Branch,"LANDBANK Bldg., Tagaytay Business Parl, Brgy. Maitim II-East, Tagaytay City, Cavite"
CAVITE,9,Trece Martires Branch,"Indang-Trece Road, Bgy. Luciano Trece Martires City, Cavite"
-
CEBU,1,"LANDBANK Easy Access Facility (LEAF) Argao, Cebu","Poblacion, Argao Cebu"
CEBU,2,Balamban Branch,"Brgy. Baliwagan, Balamban, Cebu"
CEBU,3,Bantayan Branch,"Barangay Suba, Bantayan, Cebu"
CEBU,4,Barili Branch,"Poblacion, Barili, Cebu"
CEBU,5,Bogo Branch,"Ground Floor, Bogo City Centrum, Barangay Taytayan, Bogo, Cebu 6010"
CEBU,6,Carcar Branch,"Building B, New City Market, Poblacion III, Carcar, Cebu"
CEBU,7,Banilad Branch,"Girl Scout of the Phils. Bldg., Cuenco St. Brgy. Banilad, Cebu City, Cebu"
CEBU,8,Consolacion Branch,"Ground Floor, Consolacion Government Center, Poblacion Oriental, Consolacion, Cebu"
CEBU,9,Dalaguete Branch,"Poblacion, Dalaguete, Cebu"
CEBU,10,Danao Branch,"F. Ralota Street, Poblacion Danao City, Cebu"
CEBU,11,MACTAN Branch,"Ground Floor, MCIAA Corporate Auxiliary Building, Mactan-Cebu International Airport, Airport Road, Barangay Pusok, Lapulapu City, Cebu"
CEBU,12,Mandaue City Hall Branch,"LANDBANK Bldg., Ouano St. Centro Mandaue City, Cebu"
CEBU,13,Moalboal (Cebu) Branch,"Ground Floor, Gaisano Town Center, Poblacion East, Moalboal, Cebu"
CEBU,14,Camotes Island Branch,"National Road corner Gomez Street, Eastern Poblacion, Poro, Cebu 6049"
CEBU,15,Cebu-Toledo Branch,"Gaisano Grand Mall, Sangi, Toledo City, Cebu"
-
COMPOSTELA VALLEY,1,LANDBANK EASY Access Facility (LEAF) Monkayo,"Española Street Public Market Poblacion, Monkayo. Compostela Valley"
COMPOSTELA VALLEY,2,Nabunturan Branch,"Ceniza Bldg. M. Fuentes Ave., Poblacion Nabunturan, Compostela Valley"
-
COTABATO,1,Kabacan Branch,"LANDBANK Bldg., Municipal Hall Compound Kabacan, North Cotabato"
COTABATO,2,Kidapawan Amas Branch,"Cotabato Provincial Gymnasium Provincial Capitol Compound, Amas, Kidapawan City, North Cotabato"
COTABATO,3,Libungan Branch,"Poblacion, Libungan, Cotabato"
COTABATO,4,M'lang Branch,"M. H. del Pilar street, Poblacion A, M'lang, Cotabato"
COTABATO,5,Midsayap Branch,"Sol Haus Building, Quezon Ave. Midsayap, North Cotabato"
-
DAVAO ORIENTAL,1,LUPON BRANCH,"Aguinaldo Street, Barangay Poblacion, Lupon, Davao Oriental 8207"
DAVAO ORIENTAL,2,Mati Branch,"Andrada Building Rizal Street Mati, Davao Oriental"
-
DAVAO DEL NORTE,1,Panabo Branch,"LANDBANK Bldg., National Highway Panabo City, 8105 Davao del Norte"
DAVAO DEL NORTE,2,Samal Island Branch,"Zone 4, Brgy. Villarica, Babak Dist. Isand Garden City of Samal, Davao del Norte"
DAVAO DEL NORTE,3,"LANDBANK Easy Access Facility (LEAF) Sto. Tomas, Davao del Norte","Municipal Hall Bldg., Feeder Road #3 Tibal-og, Sto. Tomas, Davao del Norte"
DAVAO DEL NORTE,4,Tagum Capitol Branch,"Capitol Site, Mankilam, Tagum City, Davao del Norte"
-
DAVAO DEL SUR,1,Bansalan Branch,"Viacrusis Bldg., J. P. LaurelA ,Viacrusis Street Poblacion Dos, Bansalan, Davao del Sur"
DAVAO DEL SUR,2,Calinan Branch,"Purok 13, Palarca Street, Calinan, Davao City, Davao del Sur 8000"
DAVAO DEL SUR,3,San Pedro (Davao) Branch,"Velez Building, San Pedro Street Davao City, Davao del Sur"
DAVAO DEL SUR,4,Digos Branch,"LANDBANK Building Rizal Avenue corner Estrada Street Digos, Davao del Sur"
DAVAO DEL SUR,5,Malita Branch,"Malita Public Market Malita, Davao del Sur"
DAVAO DEL SUR,6,LANDBANK EASY Access Facility (LEAF) Matanao,"Municipal Compound, Matanao, Davao del Sur"
DAVAO DEL SUR,7,"LANDBANK Easy Access Facility (LEAF) Sulop, Davao del Sur","Ground Floor, Municipal Hall Bldg. Sulop, Davao del Sur"
-
DINAGAT ISLANDS,1,Dinagat Branch,"R.R. Buray Ave. cor H.Tovar St. Poblacion San Jose, Dinagat Islands"
-
EASTERN SAMAR,1,Borongan Branch,"Araba Bldg., San Pedro St., Borongan City Eastern Samar"
EASTERN SAMAR,2,"LANDBANK Easy Access Facility (LEAF) Can-Avid, Eastern Samar","Municipal Compound, Poblacion, Can-Avid, Eastern Samar"
EASTERN SAMAR,3,GUIUAN BRANCH,"Ground Floor, Addison Pension House, Lugay St., Barangay 4, Guiuan, Eastern Samar"
-
GUIMARAS,1,Guimaras (Jordan) Branch,"Provincial Capitol Ground, San Miguel, Jordan Guimaras, Iloilo"
-
IFUGAO,1,LANDBANK EASY Access Facility (LEAF) Kiangan,"Poblacion, Kiangan, Ifugao"
IFUGAO,2,Lagawe Branch,"Tumapang Bldg., J.P. Rizal Ave. Poblacion Lagawe, Ifugao"
-
ILOCOS NORTE,1,Batac Branch,"J. Nalupta Bldg., Washington St. Brgy. 4 Nalupta Batac, Ilocos Norte"
ILOCOS NORTE,2,Laoag Branch,"LANDBANK Building, J.P. Rizal Street, Brgy. San Miguel,Laoag City, Ilocos Norte 2900"
ILOCOS NORTE,3,LANDBANK Easy Access Facility (LEAF) Pasuquin,"Pasuquin Farmers Trading Bldg. Poblacion, Pasuquin Ilocos Norte"
ILOCOS NORTE,4,San Nicolas Branch,"Venti IT Park, ground Floor, Accenture Building, Valdez Center, Brgy 1, Poblacion, San Nicolas, Ilocos Norte"
-
ILOCOS SUR,1,Candon Branch,"LANDBANK Building National Highway cor. Pacquing Street Candon, Ilocos Sur"
ILOCOS SUR,2,Narvacan Branch,"National Highway, Brgy. San Jose Narvacan, Ilocos Sur"
ILOCOS SUR,3,Sta. Maria (Ilocos Sur) Agri Hub,"Barangay Maynganay Sur, Sta. Maria, Ilocos Sur"
ILOCOS SUR,4,Tagudin EO,"National Highway, Del Pilar Poblacion, Tagudin, Ilocos Sur"
ILOCOS SUR,5,Vigan Branch,"Plaza Maestro Commercial Complex Florentino Street Vigan City, Ilocos Sur 2700"
-
ILOILO,1,LANDBANK Easy Access Facility Barotac Nuevo,"Cartagena Street Ilaud Poblacion Barotac Nuevo, Iloilo 5007"
ILOILO,2,Barotac Viejo (Iloilo) Agri Hub,"Barotac Viejo Trade Center, Zulueta Drive, Barangay Poblacion, Barotac Viejo, Iloilo 5011"
ILOILO,3,Estancia Branch,"V. Cudilla Avenue, Estancia, Iloilo"
ILOILO,4,Plaza Libertad Branch,"Ybernias Building, Zamora St. Iloilo City, Iloilo"
ILOILO,5,Janiuay Branch,"Don T. Lutero St. Poblacion, Janiuay, Iloilo"
ILOILO,6,UP Miag-ao Branch,"UP Visayas Fisheries Library, Museum Bldg., UP Visayas Campus Miag-ao, Iloilo"
ILOILO,7,Passi Branch,"AGT Building Simeon Aguilar Street Passi City, Iloilo"
ILOILO,8,Sara Branch,"LANDBANK Bldg., Cecilio Tady Street Sara, Iloilo"
-
ISABELA,1,Alicia Branch,"Ground Floor of De Guia Building, Maharlika Highway, Antonino, Alicia, Isabela"
ISABELA,2,Cabagan (Isabela) Branch,"APC Building, Maharlika Highway, Anao, Cabagan, Isabela"
ISABELA,3,Cauayan (I) Branch,"Isabela Trade Center Bldg., National Highway, Cauayan City, Isabela"
ISABELA,4,Echague (Isabela) Agri-Hub,"Echague-Poblacion Road, San Fabian, Echague, Isabela"
ISABELA,5,Ilagan Branch,"G/F VTU building, Brgy. Baligatan, Ilagan City, Isabela"
ISABELA,6,Roxas (Isabela) Branch,"LANDBANK Bldg. Osmeña St., Vira Roxas, Isabela"
ISABELA,7,San Isidro (Isabela) Branch,"LANDBANK Bldg., National Highway, San Isidro, Isabela"
ISABELA,8,LANDBANK Easy Access Facility (LEAF) San Mariano,"LGU Compound, Sta. Filomena, San Mariano, Isabela"
ISABELA,9,San Mateo EO,"Maharlika Highway, Brgy. 3 San Mateo, Isabela"
ISABELA,10,Santiago Branch,"Heritage Bldg., Maharlika Rd.Santiago City, Isabela"
-
KALINGA,1,Tabuk Branch,"Omengan Building, Provincial Road, Bulanao, Tabuk, Kalinga"
-
LA UNION,1,Agoo Branch,"G/F Torio Bldg. Brgy. Sta. Maria, Agoo, La Union"
LA UNION,2,Bauang Branch,"Bauang Multi-Purpose Bldg., Baguio Naguillan Rd., Central East, Bauang, La Union"
LA UNION,3,"LANDBANK Easy Access Facility (LEAF) Caba, La Union","Caba Municipal Compound Caba, La Union"
LA UNION,4,San Fernando (LU) Branch,"LANDBANK Bldg., Quezon Avenue,San Fernando City, La Union"
LA UNION,5,LANDBANK Easy Access Facility (LEAF) San Gabriel,"Poblacion, San Gabriel, La Union"
-
LAGUNA,1,Biñan Branch,"Old National Hi-way, Barangay Canlalay Biñan, Laguna"
LAGUNA,2,Cabuyao Branch,"Don Onofre Bldg., F. Bailon St., Brgy. Sala, Cabuyao, Laguna"
LAGUNA,3,Calamba City Hall Branch,"New City Hall Bldg. Bacnotan Rd. Brgy. Real, Calamba City, Laguna"
LAGUNA,4,UP Los Baños Branch,"Ground Floor, LANDBANK Building, Silangan Rd. UP Los Baños Campus"
LAGUNA,5,Nagcarlan (Laguna) Branch,"Rizal Ave., Brgy 2, Nagcarlan, Laguna"
LAGUNA,6,San Pablo (Laguna) Branch,"Colago Avenue, Barangay 1-A San Pablo City, Laguna"
LAGUNA,7,San Pedro (Laguna) Branch,"Ground floor, ETG Business Ctr., A Mabini St. Brgy. Poblacion, San Pedro, Laguna"
LAGUNA,8,Sta. Cruz (Laguna) Branch,"LBP Building, National Highway, Barangay Bubukal, Sta. Cruz, Laguna"
LAGUNA,9,Paseo de Sta. Rosa Branch,"G/F Laguna Central, Brgy. Don Jose, Sta. Rosa, Laguna"
LAGUNA,10,Siniloan Branch,"LBP Building, E. Castro Street, Siniloan, Laguna"
-
LANAO DEL NORTE,1,Iligan Branch,"LANDBANK Bldg., Bro. Raymond Jeffrey Road cor. Quezon Ave. Ext., Pala-o Iligan City, Lanao del Norte"
LANAO DEL NORTE,2,Kapatagan (Lanao del Norte) Branch,"National Highway, Poblacion, Kapatagan, Lanao del Norte"
LANAO DEL NORTE,3,Maigo Branch,"Purok 2, Poblacion, Maigo Lanao del Norte"
LANAO DEL NORTE,4,Tubod Branch,"LANDBANK Building Quezon Avenue Poblacion Tubod, Lanao del Norte"
-
LANAO DEL SUR,1,Marawi Branch,"Amai Pakpak National Road, Barangay Biaba Damag, Marawi City, Lanao del Sur"
LANAO DEL SUR,2,Wao Branch,"LANDBANK Building, Wao, Lanao del Sur"
-
LEYTE,1,Baybay Branch,"Castillo Building, No. 160 A. Bonifacio St., Baybay City, Leyte"
LEYTE,2,Carigara Branch,"TGA Bldg cor Ezperanza St. Real Streets, Carigara , Leyte"
LEYTE,3,Hilongos Branch,"West Poblacion, Hilongos, Leyte"
LEYTE,4,Ormoc Branch,"Aviles Business Center Apo Street, Barangay Cogon, Ormoc City, Leyte"
LEYTE,5,San Juan (Southern Leyte) Branch,"Rizal St., Brgy. San Jose, San Juan, Southern Leyte"
LEYTE,6,Tacloban Real Branch,"Ground Floor Esperas Bldg., Real Street Tacloban City, Leyte"
LEYTE,7,LANDBANK EASY Access Facility (LEAF) Tanauan,"Cor. Real and San Martin Sts., Brgy. Buntay, Tanauan, Leyte"
-
MAGUINDANAO,1,Buluan Branch,"National Highway, Poblacion, Buluan, Maguindanao"
MAGUINDANAO,2,Rosary Heights Branch,Estosan Garden Hotel Gov. Gutierrez Avenue Cotabato City
MAGUINDANAO,3,Parang Branch,"Cor. Mangga and Durian Streets, Poblacion 1, Parang, Maguindanao"
-
MARINDUQUE,1,Boac Branch,"Francisco-Pura Building Gov. Damian Reyes St. Brgy. San Miguel Boac, Marinduque"
-
MASBATE,1,"LANDBANK Easy Access Facility (LEAF) Aroroy, masbate","Municipal Compound, Aroroy, Masbate"
MASBATE,2,Cataingan (Masbate) Branch,"Quezon Street, Cataingan, Masbate"
MASBATE,3,Masbate Branch,"N.E. Martinez Bldg., cor. Quezon & Danao Sts. Masbate City, Masbate"
-
METRO MANILA,1,Caloocan Branch,"151 Samson Road, Caloocan City, Metro Manila"
METRO MANILA,2,Las Piñas Branch,Valenzuela Building #263 Real St. Pamplona 3 Las Piñas City
METRO MANILA,3,Makati Business Center Branch,"Robinsons Summit Center Ayala Avenue, Makati City"
METRO MANILA,4,Malabon Branch,"2nd Floor, Malabon City Hall Building, F. Sevilla Blvd., San Agustin, Malabon City"
METRO MANILA,5,EDSA Greenhills Branch,"# 259-269CLMC Building,EDSA Greenhills, Mandaluyong City"
METRO MANILA,6,Cash Department,"1598 M.H. Del Pilar cor. Dr. J. Quintos Sts.Malate, Manila"
METRO MANILA,7,Marikina Branch,"Ground Floor, XRC Building J.P. Rizal St. cor. Diamond St.Barangay Sto. Niño, Marikina City"
METRO MANILA,8,Muntinlupa Branch,"#37 National Road, Putatan, Muntinlupa City"
METRO MANILA,9,Navotas Branch,"Nautilus Bldg., 1050 M. Naval Street, San Jose, Navotas"
METRO MANILA,10,Baclaran Branch,"LANDBANK Bldg., 714 Roxas Blvd.,Baclaran, Parañaque City"
METRO MANILA,11,GSIS Branch,"Level 1, GSIS Headquarters Building,Financial Center, Brgy. 076 Pasay City"
METRO MANILA,12,Ortigas Center-Pearl Drive Branch,"Ground Floor, Tycoon Center Bldg., Pearl Drive, Ortigas Center, Brgy. San Antonio, Pasig city"
METRO MANILA,13,Pateros Branch,"C & N Bldg., 50 M. Almeda St., Pateros City"
METRO MANILA,14,Camp Aguinaldo Branch,"AFP Gen. Insurance Corporation Bldg., Bonny Serrano Road cor. EDSA, Camp Aguinaldo, Quezon City"
METRO MANILA,15,San Juan Branch,"City Government of San Juan Compound, Pinaglabanan cor. P. Narciso Streets, Brgy. Corazon de Jesus, San Juan City"
METRO MANILA,16,Bicutan DOST Branch,"Gen. Santos Avenue, Upper Bicutan, Taguig City"
METRO MANILA,17,Valenzuela Branch,"ARCA North Corporate Center Building #150 F. Dela Cruz Street corner Maysan Road, Valenzuela City"
-
MISAMIS OCCIDENTAL,1,Calamba (Misamis Occidental) Branch,"Municipal Compound, Matunog Street, Southwestern Poblacion, Calamba, Misamis Occidental"
MISAMIS OCCIDENTAL,2,Oroquieta Branch,"Dajao Building, Rizal Street, Poblacion I, Oroquieta City, Misamis Occidental"
MISAMIS OCCIDENTAL,3,Ozamiz Branch,"Don Anselmo Bernad Avenue, Ozamiz City, Misamis Occidental"
MISAMIS OCCIDENTAL,4,LANDBANK Easy Access Facility (LEAF) Sinacaban,"Poblacion, Sinacaban Misamis Occidental 7203"
MISAMIS OCCIDENTAL,5,Tangub (Misamis Occidental) Branch,"2nd North corner Magsaysay Street, Barangay II, Tangub City, Misamis Occidental"
-
MISAMIS ORIENTAL,1,Balingasag Branch,"National Highway, Barangay Waterfall, Balingasag, Misamis Oriental"
MISAMIS ORIENTAL,2,Velez Branch,"Ground Flr. Boy Scout of the Phils. Green Tower Building, Velez and Luna Streets, Cagayan de Oro City, Misamis Oriental"
MISAMIS ORIENTAL,3,Claveria (Misamis Oriental) Agri-Hub,"Borromeo cor. Quezon Street, Poblacion, Claveria, Misamis Oriental 9004"
MISAMIS ORIENTAL,4,El Salvador City Branch,"El Salvador City Sports Complex, Brgy. Poblacion, El Salvador City, Misamis Oriental"
MISAMIS ORIENTAL,5,Gingoog Branch,"Moreno Building, National Highway Gingoog City, Misamis Oriental"
-
MOUNTAIN PROVINCE,1,Bontoc Branch,"Provincial Multi-Purpose Bldg., Poblacion Bontoc, Mt. Province"
-
NEGROS OCCIDENTAL,1,Mandalagan Bacolod Branch,"AVP Building, Lacson St., Brgy. Mandalagan, Bacolod City, Negros Occidental"
NEGROS OCCIDENTAL,2,Bago Agri-Hub,"Gonzaga St. Poblacion, Bago City, Negros Occidental"
NEGROS OCCIDENTAL,3,Cadiz Branch,"Abelarde Street, Brgy Zone 4, Cadiz City, Negros Occidental"
NEGROS OCCIDENTAL,4,Himamaylan Branch Lite,"GM Building, Rizal Street, Barangay 2, Poblacion, Himamaylan, Negros Occidental 6108"
NEGROS OCCIDENTAL,5,Kabankalan Branch,"Jomabo Building, Tan Lorenzo corner Guanzon Sts., Kabankalan City, Negros Occidental"
NEGROS OCCIDENTAL,6,La Carlota Branch,"GSO Compound, Yunque Street, Barangay 1, La Carlota, Negros Occidental"
NEGROS OCCIDENTAL,7,Sagay Branch,"Alfelor Street, national Highway, Sagay City, Negros Occidental"
NEGROS OCCIDENTAL,8,San Carlos (NO) Branch,"Ground Floor Heritage Building II FC Ledesma Ave., City Center (Center Mall) San Carlos City, Negros Occidental"
NEGROS OCCIDENTAL,9,Silay EO,"Rizal St. Brgy. 2, Silay City, Negros Occidental"
NEGROS OCCIDENTAL,10,Sipalay Branch,"Sipalay City Hall, Barangay 2 Sipalay, Negros Occidental"
NEGROS OCCIDENTAL,11,Victorias Branch,"Rainbow Mall Building, Osmeña Ave. Victorias, Negros Occidental"
-
NEGROS ORIENTAL,1,LANDBANK EASY Access Facility (LEAF) Amlan,"Municipal Plaza National Highway Poblacion Amlan, Negros Oriental 6203"
NEGROS ORIENTAL,2,Bais Branch,"Mercado de Bais, National Highway, Bais City, Negros Oriental"
NEGROS ORIENTAL,3,Bayawan Branch,"National Highway cor. Mabini St. Poblacion Bayawan City, Negros Oriental"
NEGROS ORIENTAL,4,LANDBANK EASY Access Facility (LEAF) Bindoy,"Brgy. Poblacion, Bindoy, Negros Oriental"
